municipio_cvegeo,total_camas,Nom_Ent,Nom_Mun,municipio_cvegeo,total_camas,Nom_Mun,Entidad,Total_camas
11014,110,Guanajuato,Dolores Hidalgo Cuna de la Independencia Nacional,11014,110,Dolores Hidalgo Cuna de la Independencia Nacional,,
11015,134,Guanajuato,Guanajuato,11015,134,Guanajuato,,
11016,23,Guanajuato,Huanímaro,11016,23,Huanímaro,,
11017,499,Guanajuato,Irapuato,11017,499,Irapuato,,
11018,36,Guanajuato,Jaral del Progreso,11018,36,Jaral del Progreso,,
11019,18,Guanajuato,Jerécuaro,11019,18,Jerécuaro,,
11020,2494,Guanajuato,León,11020,2494,León,,
11021,47,Guanajuato,Moroleón,11021,47,Moroleón,,
11022,0,Guanajuato,Ocampo,11022,0,Ocampo,,
11023,53,Guanajuato,Pénjamo,11023,53,Pénjamo,,
11024,12,Guanajuato,Pueblo Nuevo,11024,12,Pueblo Nuevo,,
11025,28,Guanajuato,Purísima del Rincón,11025,28,Purísima del Rincón,,
11026,17,Guanajuato,Romita,11026,17,Romita,,
11027,171,Guanajuato,Salamanca,11027,171,Salamanca,,
11028,60,Guanajuato,Salvatierra,11028,60,Salvatierra,,
11029,9,Guanajuato,San Diego de la Unión,11029,9,San Diego de la Unión,,
11030,26,Guanajuato,San Felipe,11030,26,San Felipe,,
11031,38,Guanajuato,San Francisco del Rincón,11031,38,San Francisco del Rincón,,
11032,49,Guanajuato,San José Iturbide,11032,49,San José Iturbide,,
11033,88,Guanajuato,San Luis de la Paz,11033,88,San Luis de la Paz,,
11034,0,Guanajuato,Santa Catarina,11034,0,Santa Catarina,,
11035,19,Guanajuato,Santa Cruz de Juventino Rosas,11035,19,Santa Cruz de Juventino Rosas,,
11036,0,Guanajuato,Santiago Maravatío,11036,0,Santiago Maravatío,,
11037,81,Guanajuato,Silao de la Victoria,11037,81,Silao de la Victoria,,
11038,10,Guanajuato,Tarandacuao,11038,10,Tarandacuao,,
11039,18,Guanajuato,Tarimoro,11039,18,Tarimoro,,
11040,0,Guanajuato,Tierra Blanca,11040,0,Tierra Blanca,,
11041,66,Guanajuato,Uriangato,11041,66,Uriangato,,
11042,66,Guanajuato,Valle de Santiago,11042,66,Valle de Santiago,,
11043,0,Guanajuato,Victoria,11043,0,Victoria,,
11044,20,Guanajuato,Villagrán,11044,20,Villagrán,,
11045,0,Guanajuato,Xichú,11045,0,Xichú,,
11046,30,Guanajuato,Yuriria,11046,30,Yuriria,,
12001,1046,Guerrero,Acapulco de Juárez,12001,1046,Acapulco de Juárez,,
12002,0,Guerrero,Ahuacuotzingo,12002,0,Ahuacuotzingo,,
12003,0,Guerrero,Ajuchitlán del Progreso,12003,0,Ajuchitlán del Progreso,,
12004,15,Guerrero,Alcozauca de Guerrero,12004,15,Alcozauca de Guerrero,,
12005,0,Guerrero,Alpoyeca,12005,0,Alpoyeca,,
12006,0,Guerrero,Apaxtla,12006,0,Apaxtla,,
12007,12,Guerrero,Arcelia,12007,12,Arcelia,,
12008,0,Guerrero,Atenango del Río,12008,0,Atenango del Río,,
12009,0,Guerrero,Atlamajalcingo del Monte,12009,0,Atlamajalcingo del Monte,,
12010,0,Guerrero,Atlixtac,12010,0,Atlixtac,,
12011,30,Guerrero,Atoyac de Álvarez,12011,30,Atoyac de Álvarez,,
12012,36,Guerrero,Ayutla de los Libres,12012,36,Ayutla de los Libres,,
12013,0,Guerrero,Azoyú,12013,0,Azoyú,,
12014,0,Guerrero,Benito Juárez,12014,0,Benito Juárez,,
12015,0,Guerrero,Buenavista de Cuéllar,12015,0,Buenavista de Cuéllar,,
12016,12,Guerrero,Coahuayutla de José María Izazaga,12016,12,Coahuayutla de José María Izazaga,,
12017,0,Guerrero,Cocula,12017,0,Cocula,,
12018,2,Guerrero,Copala,12018,2,Copala,,
12019,0,Guerrero,Copalillo,12019,0,Copalillo,,
