CLAVE_CLIENTE,CVE_UNIDAD_NEGOCIO,UNIDAD_NEGOCIO,EMISORA_FONDO,DESC_CE_FINANCIERO,SALDO_CLIENTE,TIPO_OPERACION,GENERO,Edad,ENROLADO,FECHA_TRANSACCION
92543222,1,BANCO,OPORT1,Jalapa,551867.3489,COMPRA,MASCULINO,45.86666667,ENROLADO,14/02/20
92543784,1,BANCO,IMPULSA,Jalisco,1175813.151,VENTA,FEMENINO,54.04722222,ENROLADO,14/02/20
92569243,1,BANCO,ACTIVAR,Ciudad de Mexico,1181736.763,VENTA,MASCULINO,66.79444444,NO ENROLADO,14/02/20
92578889,1,BANCO,CUENTA_EJE,Ciudad de Mexico,446659.3917,RETIRO,MASCULINO,62.92777778,ENROLADO,14/02/20
92588268,1,BANCO,ACTIREN,Ciudad de Mexico,224213.4995,COMPRA,FEMENINO,29.16666667,ENROLADO,14/02/20
92631670,1,BANCO,ACTIMED,Ciudad de Mexico,36602.32631,COMPRA,FEMENINO,61.72777778,ENROLADO,14/02/20
92649144,1,BANCO,IMPULSA,Jalisco,267229.4717,VENTA,MASCULINO,73.19444444,NO ENROLADO,14/02/20
92697267,1,BANCO,ALTERNA,Ciudad de Mexico,1927534.453,COMPRA,MASCULINO,49.07777778,ENROLADO,14/02/20
92723469,1,BANCO,ACTIMED,Toluca,106654.4215,VENTA,MASCULINO,60.16111111,NO ENROLADO,14/02/20
92805423,1,BANCO,PROTEGE,Queretaro,2357770.788,VENTA,MASCULINO,49.29722222,ENROLADO,14/02/20
92821289,1,BANCO,ACTI500,Ciudad de Mexico,97241.86658,VENTA,FEMENINO,67.80833333,NO ENROLADO,14/02/20
92826049,1,BANCO,ALTERNA,Toluca,1685722.103,VENTA,FEMENINO,87.51944444,NO ENROLADO,14/02/20
92908235,1,BANCO,ALTERNA,Toluca,120004.4895,VENTA,FEMENINO,63.94722222,NO ENROLADO,14/02/20
92935303,1,BANCO,ACTIMED,Ciudad de Mexico,98136.28208,VENTA,FEMENINO,72.94166667,NO ENROLADO,14/02/20
92942036,2,CASA DE BOLSA,EFECTIVO,Monterrey,21313428.98,"RET, DEPOSITO EN SU CHEQUERA                                                                        ",MASCULINO,61.03888889,ENROLADO,14/02/20
92943794,1,BANCO,ACTIREN,Ciudad de Mexico,87362.00158,VENTA,MASCULINO,59.07777778,NO ENROLADO,14/02/20
92966043,1,BANCO,ACTIMED,Jalisco,340037.5331,COMPRA,MASCULINO,25.64166667,ENROLADO,14/02/20
92991793,1,BANCO,ACTICOB,Puebla,212358.53,VENTA,MASCULINO,50.91944444,ENROLADO,14/02/20
93013530,1,BANCO,CUENTA_EJE,Jalisco,0,RETIRO,MASCULINO,72.63888889,ENROLADO,14/02/20
93019859,1,BANCO,ALTERNA,Ciudad de Mexico,67440.17223,VENTA,FEMENINO,42.30833333,ENROLADO,14/02/20
93102457,1,BANCO,ACTVIDA,Jalisco,120926.7278,VENTA,FEMENINO,63.61388889,NO ENROLADO,14/02/20
93149664,1,BANCO,ACTIREN,Toluca,1172035.064,VENTA,MASCULINO,55.1,NO ENROLADO,14/02/20
93171528,2,CASA DE BOLSA,EFECTIVO,Ciudad de Mexico,99798.01,"RET, TRASPASO ENTRE CONTRATOS                                                                       ",MASCULINO,48.95,ENROLADO,14/02/20
93189249,1,BANCO,ACTICOB,Ciudad de Mexico,327694.2782,VENTA,FEMENINO,51.31666667,NO ENROLADO,14/02/20
93219384,1,BANCO,SALUD,Ciudad de Mexico,546163.4712,VENTA,FEMENINO,32.54722222,NO ENROLADO,14/02/20
93243970,1,BANCO,ACTIMED,Aguascalientes,95432.72508,VENTA,MASCULINO,48.80555556,ENROLADO,14/02/20
93289296,1,BANCO,ACTIMED,Queretaro,298603.0328,VENTA,FEMENINO,47.875,ENROLADO,14/02/20
93289940,1,BANCO,ACTIMED,Ciudad de Mexico,535409.8869,COMPRA,MASCULINO,54.48055556,ENROLADO,14/02/20
93336006,1,BANCO,ACTIMED,Jalisco,127394.4985,COMPRA,FEMENINO,55.67777778,NO ENROLADO,14/02/20
93338234,1,BANCO,IMPULSA,Jalisco,134404.5527,VENTA,FEMENINO,86.125,NO ENROLADO,14/02/20
93396950,1,BANCO,ACTIMED,Toluca,137676.1805,VENTA,FEMENINO,66.19444444,ENROLADO,14/02/20
93409100,1,BANCO,ACTVIDA,Ciudad de Mexico,107495.169,VENTA,FEMENINO,55.81111111,ENROLADO,14/02/20
93453736,1,BANCO,EVEREST,Tijuana,442197.8314,TRASPASO IN,MASCULINO,40.44444444,ENROLADO,14/02/20
93515047,1,BANCO,ACTIMED,Cuernavaca,219260.7258,COMPRA,MASCULINO,56.28333333,ENROLADO,14/02/20
93557064,1,BANCO,ACTIREN,Puebla,485189.7702,COMPRA,MASCULINO,55.99722222,ENROLADO,14/02/20
93564896,1,BANCO,ACTIPLU,Ciudad de Mexico,330607.6488,VENTA,FEMENINO,42.36666667,ENROLADO,14/02/20
93569077,1,BANCO,IMPULSA,Jalisco,61306.78,VENTA,FEMENINO,62.91944444,NO ENROLADO,14/02/20
93583128,1,BANCO,ACTIGOB,Ciudad de Mexico,304631.2732,COMPRA,FEMENINO,56.00277778,ENROLADO,14/02/20
93585099,1,BANCO,ACTIMED,Jalisco,744974.4783,VENTA,MASCULINO,54.93611111,NO ENROLADO,14/02/20
93587566,1,BANCO,ACTVIDA,Jalisco,708283.7014,VENTA,FEMENINO,55.03611111,ENROLADO,14/02/20
93588911,1,BANCO,ACTIGOB,Ciudad de Mexico,275792.3797,VENTA,FEMENINO,41.71944444,ENROLADO,14/02/20
93591154,2,CASA DE BOLSA,MFRISCO   ,Ciudad de Mexico,634751.93,COMPRA                                                                                              ,MASCULINO,57.54166667,NO ENROLADO,14/02/20
93606309,1,BANCO,CUENTA_EJE,Culiacan,897619.0037,DEPOSITO,FEMENINO,60.1,ENROLADO,14/02/20
93630366,1,BANCO,ACTVIDA,Ciudad de Mexico,1643829.789,VENTA,FEMENINO,53.54166667,ENROLADO,14/02/20
93631786,1,BANCO,ALTERNA,Ciudad de Mexico,680470.8026,VENTA,MASCULINO,77.12222222,ENROLADO,14/02/20
93638203,1,BANCO,ACTVIDA,Jalisco,76413.93871,VENTA,FEMENINO,51.16944444,ENROLADO,14/02/20
93669943,1,BANCO,SALUD,Toluca,702139.1824,COMPRA,MASCULINO,53.66944444,ENROLADO,14/02/20
93686137,1,BANCO,IMPULSA,Ciudad de Mexico,339031.0524,COMPRA,MASCULINO,49.09722222,ENROLADO,14/02/20
93687796,2,CASA DE BOLSA,EFECTIVO,Toluca,456164.23,"RET, DEPOSITO EN SU CHEQUERA                                                                        ",FEMENINO,64.57777778,NO ENROLADO,14/02/20
93688596,1,BANCO,ACTIMED,Jalisco,316407.9324,VENTA,MASCULINO,36.98055556,NO ENROLADO,14/02/20
93691715,1,BANCO,ACTIMED,Jalisco,198079.309,VENTA,FEMENINO,68.81111111,ENROLADO,14/02/20
93700532,1,BANCO,ACTICOB,Ciudad de Mexico,35976.39,VENTA,FEMENINO,78.09722222,ENROLADO,14/02/20
93705424,1,BANCO,ALTERNA,Ciudad de Mexico,142138.3507,VENTA,FEMENINO,46.53888889,ENROLADO,14/02/20
