CLAVE_CLIENTE,CVE_UNIDAD_NEGOCIO,UNIDAD_NEGOCIO,EMISORA_FONDO,DESC_CE_FINANCIERO,SALDO_CLIENTE,TIPO_OPERACION,GENERO,Edad,ENROLADO
90110818,2,CASA DE BOLSA,EFECTIVO,Monterrey,61212.71,"RET, TRASPASO ENTRE CONTRATOS                                                                       ",FEMENINO,82,NO ENROLADO
90114513,2,CASA DE BOLSA,ACTIMED   ,Toluca,80605.7,VENTA                                                                                               ,FEMENINO,35,ENROLADO
90115411,2,CASA DE BOLSA,EFECTIVO,Aguascalientes,727364.34,"RET, DEPOSITO EN SU CHEQUERA                                                                        ",FEMENINO,56,ENROLADO
90116054,2,CASA DE BOLSA,EFECTIVO,Toluca,2184467.17,"RET, DEPOSITO EN SU CHEQUERA                                                                        ",FEMENINO,58,NO ENROLADO
90117326,1,BANCO,CUENTA_EJE,Toluca,2037135.18,RETIRO,MASCULINO,41,ENROLADO
90121559,2,CASA DE BOLSA,MAYA      ,Ciudad de Mexico,393821.17,VENTA                                                                                               ,FEMENINO,84,NO ENROLADO
90121963,2,CASA DE BOLSA,EFECTIVO,Ciudad de Mexico,606624.08,"RET, DEPOSITO EN SU CHEQUERA                                                                        ",MASCULINO,49,NO ENROLADO
90122243,2,CASA DE BOLSA,VTLS-RF   ,Ciudad de Mexico,6793122.292,COMPRA                                                                                              ,FEMENINO,45,ENROLADO
90122441,2,CASA DE BOLSA,EFECTIVO,Aguascalientes,736467.91,"RET, DEPOSITO EN SU CHEQUERA                                                                        ",MASCULINO,70,ENROLADO
90126186,2,CASA DE BOLSA,EFECTIVO,San Luis Potosi,29223.24,"RET, DEPOSITO EN SU CHEQUERA                                                                        ",MASCULINO,63,ENROLADO
90127382,2,CASA DE BOLSA,EFECTIVO,Toluca,63523.75,"RET, DEPOSITO EN SU CHEQUERA                                                                        ",MASCULINO,55,NO ENROLADO
90127796,2,CASA DE BOLSA,EFECTIVO,Ciudad de Mexico,7483956.58,"RET, DEPOSITO EN SU CHEQUERA                                                                        ",MASCULINO,78,ENROLADO
90127820,2,CASA DE BOLSA,EFECTIVO,Ciudad de Mexico,7438.97,"RET, DEPOSITO EN SU CHEQUERA                                                                        ",FEMENINO,55,NO ENROLADO
90127895,2,CASA DE BOLSA,EFECTIVO,Ciudad de Mexico,3390012.29,"RET, DEPOSITO EN SU CHEQUERA                                                                        ",MASCULINO,52,NO ENROLADO
90128844,2,CASA DE BOLSA,EFECTIVO,Ciudad de Mexico,182289,"RET, TRASPASO ENTRE CONTRATOS                                                                       ",MASCULINO,45,ENROLADO
90130287,2,CASA DE BOLSA,ALFA      ,Ciudad de Mexico,355222.62,COMPRA                                                                                              ,MASCULINO,34,NO ENROLADO
90131285,1,BANCO,ACTICOB,Jalisco,1096371.91,VENTA,MASCULINO,34,ENROLADO
90131418,2,CASA DE BOLSA,EFECTIVO,Ciudad de Mexico,13193109.75,"RET, DEPOSITO EN SU CHEQUERA                                                                        ",MASCULINO,48,NO ENROLADO
90132507,2,CASA DE BOLSA,EFECTIVO,Queretaro,205579.5077,"RET, DEPOSITO EN SU CHEQUERA                                                                        ",MASCULINO,29,ENROLADO
90133398,2,CASA DE BOLSA,EFECTIVO,Ciudad de Mexico,119442.68,"RET, DEPOSITO EN SU CHEQUERA                                                                        ",FEMENINO,36,ENROLADO
90133463,2,CASA DE BOLSA,EFECTIVO,Ciudad de Mexico,42019.66,RETIRO POR PAGO EN VENTANILLA                                                                       ,FEMENINO,51,ENROLADO
90136383,2,CASA DE BOLSA,EFECTIVO,Ciudad de Mexico,503531.07,"RET, DEPOSITO EN SU CHEQUERA                                                                        ",MASCULINO,75,NO ENROLADO
90136631,2,CASA DE BOLSA,EFECTIVO,Toluca,2930745.33,"RET, DEPOSITO EN SU CHEQUERA                                                                        ",MASCULINO,77,NO ENROLADO
90136771,2,CASA DE BOLSA,ACTIMED   ,Puebla,5127418.83,COMPRA                                                                                              ,MASCULINO,59,ENROLADO
90136938,2,CASA DE BOLSA,EFECTIVO,Ciudad de Mexico,168788.84,"RET, DEPOSITO EN SU CHEQUERA                                                                        ",MASCULINO,56,ENROLADO
90138355,2,CASA DE BOLSA,EFECTIVO,Ciudad de Mexico,20989.21,"RET, DEPOSITO EN SU CHEQUERA                                                                        ",FEMENINO,63,NO ENROLADO
90139171,2,CASA DE BOLSA,ACTIREN   ,Ciudad de Mexico,962403.83,VENTA                                                                                               ,FEMENINO,66,ENROLADO
90139189,2,CASA DE BOLSA,ACTIREN   ,Morelia,1413825.71,VENTA                                                                                               ,MASCULINO,55,NO ENROLADO
90140641,2,CASA DE BOLSA,ACTIREN   ,Ciudad de Mexico,399887.58,VENTA                                                                                               ,MASCULINO,57,ENROLADO
90140740,1,BANCO,ACTIMED,Ciudad de Mexico,2069433.863,VENTA,MASCULINO,60,ENROLADO
90142860,2,CASA DE BOLSA,EFECTIVO,Toluca,1218660.6,"RET, DEPOSITO EN SU CHEQUERA                                                                        ",FEMENINO,56,NO ENROLADO
90150251,2,CASA DE BOLSA,EFECTIVO,Ciudad de Mexico,240298.12,"RET, DEPOSITO EN SU CHEQUERA                                                                        ",FEMENINO,60,NO ENROLADO
90151028,2,CASA DE BOLSA,ALPEK     ,Queretaro,16653420.78,COMPRA                                                                                              ,MASCULINO,56,NO ENROLADO
90151259,2,CASA DE BOLSA,EFECTIVO,Chihuahua,21898.87,"RET, DEPOSITO EN SU CHEQUERA                                                                        ",FEMENINO,43,NO ENROLADO
90152299,2,CASA DE BOLSA,EFECTIVO,Toluca,13356.68,"RET, DEPOSITO EN SU CHEQUERA                                                                        ",FEMENINO,57,NO ENROLADO
90155797,2,CASA DE BOLSA,ALTERNA   ,Ciudad de Mexico,26872.08,VENTA                                                                                               ,FEMENINO,57,ENROLADO
90162546,2,CASA DE BOLSA,EFECTIVO,Queretaro,204753.47,"RET, DEPOSITO EN SU CHEQUERA                                                                        ",FEMENINO,47,ENROLADO
90162587,2,CASA DE BOLSA,DIS       ,Chihuahua,113047.96,COMPRA                                                                                              ,MASCULINO,40,NO ENROLADO
90163973,2,CASA DE BOLSA,EFECTIVO,Ciudad de Mexico,1341.85,"RET, DEPOSITO EN SU CHEQUERA                                                                        ",SIN GENERO,38,NO ENROLADO
90164930,2,CASA DE BOLSA,EFECTIVO,Ciudad de Mexico,10943631.67,"RET, DEPOSITO EN SU CHEQUERA                                                                        ",FEMENINO,76,NO ENROLADO
90172370,2,CASA DE BOLSA,HCITY     ,Ciudad de Mexico,197502.51,COMPRA                                                                                              ,MASCULINO,44,ENROLADO
90178518,2,CASA DE BOLSA,EFECTIVO,Toluca,409719.92,"RET, DEPOSITO EN SU CHEQUERA                                                                        ",MASCULINO,79,ENROLADO
90178807,2,CASA DE BOLSA,EFECTIVO,Ciudad de Mexico,194670.24,"RET, TRASPASO ENTRE CONTRATOS                                                                       ",MASCULINO,55,ENROLADO
90179417,2,CASA DE BOLSA,EFECTIVO,Ciudad de Mexico,8.47,"RET, DEPOSITO EN SU CHEQUERA                                                                        ",FEMENINO,37,NO ENROLADO
90179946,2,CASA DE BOLSA,EFECTIVO,Ciudad de Mexico,783942.4,"RET, DEPOSITO EN SU CHEQUERA                                                                        ",FEMENINO,74,NO ENROLADO
90181512,2,CASA DE BOLSA,EFECTIVO,Ciudad de Mexico,8165.11,"RET, DEPOSITO EN SU CHEQUERA                                                                        ",MASCULINO,57,ENROLADO
90181686,2,CASA DE BOLSA,EFECTIVO,Ciudad de Mexico,469342.91,"RET, TRASPASO ENTRE CONTRATOS                                                                       ",MASCULINO,74,ENROLADO
90182247,1,BANCO,CUENTA_EJE,Toluca,1424543.17,RETIRO,MASCULINO,41,ENROLADO
90182338,2,CASA DE BOLSA,EFECTIVO,Ciudad de Mexico,948834.6,"RET, DEPOSITO EN SU CHEQUERA                                                                        ",FEMENINO,53,NO ENROLADO
90182437,2,CASA DE BOLSA,EFECTIVO,Ciudad de Mexico,15617303.12,"RET, DEPOSITO EN SU CHEQUERA                                                                        ",FEMENINO,83,NO ENROLADO
90183146,2,CASA DE BOLSA,ACTIREN   ,Ciudad de Mexico,194011.16,VENTA                                                                                               ,FEMENINO,47,NO ENROLADO
90183229,2,CASA DE BOLSA,ACTICRE   ,Hermosillo,406435.57,VENTA                                                                                               ,MASCULINO,47,NO ENROLADO
90188574,2,CASA DE BOLSA,ACTIG+    ,Queretaro,129667.31,VENTA                                                                                               ,MASCULINO,44,ENROLADO
90188830,1,BANCO,CUENTA_EJE,Ciudad de Mexico,854700.54,RETIRO,MASCULINO,41,ENROLADO
90189895,2,CASA DE BOLSA,ALFA      ,Chihuahua,873065.08,COMPRA                                                                                              ,MASCULINO,54,NO ENROLADO
90190117,2,CASA DE BOLSA,EFECTIVO,Ciudad de Mexico,1654025.17,"RET, DEPOSITO EN SU CHEQUERA                                                                        ",FEMENINO,58,NO ENROLADO
90190679,2,CASA DE BOLSA,EFECTIVO,Ciudad de Mexico,264684.68,"RET, DEPOSITO EN SU CHEQUERA                                                                        ",MASCULINO,48,ENROLADO
90191305,2,CASA DE BOLSA,EFECTIVO,Monterrey,180310.35,"RET, DEPOSITO EN SU CHEQUERA                                                                        ",MASCULINO,73,NO ENROLADO
90194457,2,CASA DE BOLSA,EFECTIVO,Ciudad de Mexico,4673.33,"RET, DEPOSITO EN SU CHEQUERA                                                                        ",FEMENINO,81,ENROLADO
90194531,2,CASA DE BOLSA,ROBOTIK   ,Chihuahua,1575196.52,VENTA                                                                                               ,MASCULINO,53,ENROLADO
90194705,2,CASA DE BOLSA,ACTIREN   ,Ciudad de Mexico,251049.38,VENTA                                                                                               ,MASCULINO,63,ENROLADO
90195454,2,CASA DE BOLSA,ACTIREN   ,Ciudad de Mexico,298301.79,VENTA                                                                                               ,MASCULINO,41,ENROLADO
90195538,2,CASA DE BOLSA,EFECTIVO,Ciudad de Mexico,1431771.55,"RET, DEPOSITO EN SU CHEQUERA                                                                        ",MASCULINO,59,ENROLADO
